class	prop	rdf	-*- tab-width: 32 -*-
InvestorType	language	schema:availableLanguage
InvestorType	modified	dct:modified
InvestorType	order	cg:order
InvestorType	prefLabel	skos:prefLabel
InvestorType	source	dct:source
LegalForm	address	cg:address
LegalForm	altLabel	skos:altLabel
LegalForm	broader	skos:broader
LegalForm	country	cg:country
LegalForm	created	dct:created
LegalForm	description	skos:description
LegalForm	descriptionLong	cg:descriptionLong
LegalForm	ident	skos:notation
LegalForm	identifier	adms:identifier
LegalForm	inScheme	skos:inScheme
LegalForm	isCluster	cg:isCluster
LegalForm	language	schema:availableLanguage
LegalForm	modified	dct:modified
LegalForm	order	cg:order
LegalForm	prefLabel	skos:prefLabel
LegalForm	source	dct:source
Observation	currency	cg:currency
Observation	date	cg:date
Observation	object	qb:dataSet
Observation	observationType	cg:observationType
Observation	valueConcept	cg:valueConcept
Observation	valueDate	cg:valueDate
Observation	valueDecimal	cg:valueDecimal
Observation	valueInteger	cg:valueInteger
ObservationCommon	currency	cg:currency
ObservationCommon	date	cg:date
ObservationCommon	object	qb:dataSet
ObservationCommon	observationType	cg:observationType
ObservationCommon	valueConcept	cg:valueConcept
ObservationCommon	valueDate	cg:valueDate
ObservationCommon	valueDecimal	cg:valueDecimal
ObservationCommon	valueInteger	cg:valueInteger
ObservationType	address	cg:address
ObservationType	altLabel	skos:altLabel
ObservationType	broader	skos:broader
ObservationType	country	cg:country
ObservationType	created	dct:created
ObservationType	description	skos:description
ObservationType	descriptionLong	cg:descriptionLong
ObservationType	ident	skos:notation
ObservationType	identifier	adms:identifier
ObservationType	inScheme	skos:inScheme
ObservationType	isCluster	cg:isCluster
ObservationType	kind	inn:kind
ObservationType	language	schema:availableLanguage
ObservationType	modified	dct:modified
ObservationType	order	cg:order
ObservationType	perspective	inn:perspective
ObservationType	prefLabel	skos:prefLabel
ObservationType	source	dct:source
Organization	address	org:hasRegisteredSite
Organization	addressOther	org:hasSite
Organization	altLabel	skos:altLabel
Organization	country	cg:country
Organization	created	dct:created
Organization	dateDissolved	schema:dissolutionDate
Organization	dateFounded	schema:foundingDate
Organization	description	dct:description
Organization	descriptionLong	cg:descriptionLong
Organization	ident	skos:notation
Organization	identifier	adms:identifier
Organization	industry	cg:industry
Organization	industryAll	rov:orgActivity
Organization	industryText	ebg:orgActivityText
Organization	investorType	cg:investorType
Organization	isCluster	cg:isCluster
Organization	isPubliclyTraded	ebg:isPubliclyTraded
Organization	isReseach	cg:isResearch
Organization	isStartup	ebg:isStartup
Organization	isStateOwned	ebg:isStateOwned
Organization	language	schema:availableLanguage
Organization	legalForm	rov:orgType
Organization	legalFormText	ebg:orgTypeText
Organization	legalName	rov:legalName
Organization	modified	dct:modified
Organization	orgType	cg:orgType
Organization	orgTypeOther	cg:orgTypeOther
Organization	prefLabel	skos:prefLabel
Organization	source	dct:source
Organization	status	rov:orgStatus
Organization	statusText	ebg:orgStatusText
OrganizationCommon	address	org:hasRegisteredSite
OrganizationCommon	addressOther	org:hasSite
OrganizationCommon	altLabel	skos:altLabel
OrganizationCommon	country	cg:country
OrganizationCommon	created	dct:created
OrganizationCommon	dateDissolved	schema:dissolutionDate
OrganizationCommon	dateFounded	schema:foundingDate
OrganizationCommon	description	dct:description
OrganizationCommon	descriptionLong	cg:descriptionLong
OrganizationCommon	ident	skos:notation
OrganizationCommon	identifier	adms:identifier
OrganizationCommon	industry	cg:industry
OrganizationCommon	industryAll	rov:orgActivity
OrganizationCommon	industryText	ebg:orgActivityText
OrganizationCommon	investorType	cg:investorType
OrganizationCommon	isCluster	cg:isCluster
OrganizationCommon	isPubliclyTraded	ebg:isPubliclyTraded
OrganizationCommon	isStateOwned	ebg:isStateOwned
